"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/18/2023","48","PM2.5","Apple Valley","27-037-0470","AQS","33","41","24","48","20"
"09/19/2023","55","PM2.5","Andersen School","27-053-0963","AQS","7","54","28","55","18"
"09/20/2023","61","Ozone","St. Michael Elementary School","27-171-3201","AQS","7","61","33","46","20"
"09/21/2023","71","Ozone","St. Michael Elementary School","27-171-3201","AQS","26","71","44","59","22"
"09/22/2023","54","PM2.5","St. Michael Elementary School","27-171-3201","AQS","28","45","27","54","14"
"09/23/2023","38","Ozone","Mille Lacs Band","27-095-3051","AQS","14","38","8","28","14"
"09/24/2023","51","PM2.5","Apple Valley","27-037-0470","AQS","22","41","16","51","14"
"09/25/2023","42","PM2.5","B.F. Pearson School","27-139-0505","AQS","10","30","16","42","26"
"09/26/2023","43","PM2.5","B.F. Pearson School","27-139-0505","AQS","8","29","14","43","17"
"09/27/2023","36","PM2.5","B.F. Pearson School","27-139-0505","AQS","6","30","12","36","15"
"09/28/2023","36","Ozone","B.F. Pearson School","27-139-0505","AQS","16","36","25","27","12"
"09/29/2023","44","Ozone","St. Michael Elementary School","27-171-3201","AirNow","31","44","26","34","16"
"09/30/2023","62","PM2.5","B.F. Pearson School","27-139-0505","AQS","23","48","30","62","24"
"10/01/2023","58","Ozone","St. Michael Elementary School","27-171-3201","AirNow","9","58","37","53","."
"10/02/2023","60","PM10","Pacific Street","27-053-0910","AirNow",".","58","60","56","."
"10/03/2023","69","PM10","Lowry Avenue","27-053-0909","AirNow",".","54","69","59","."
"10/04/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","11","15","."
"10/05/2023","26","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","26","14","16","."
"10/06/2023","27","Ozone","Cedar Creek","27-003-1001","AirNow",".","27","9","11","."
"10/07/2023","23","PM2.5","Apple Valley","27-037-0470","AirNow",".","21","13","23","."
"10/08/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","9","21","."
"10/09/2023","30","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","30","13","17","."
"10/10/2023","33","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","33","19","29","."
"10/11/2023","34","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","30","23","34","."
"10/12/2023","20","Ozone","Cedar Creek","27-003-1001","AirNow",".","20","11","17","."
"10/13/2023","23","Ozone","Mille Lacs Band","27-095-3051","AirNow",".","23","4","8","."
"10/14/2023","28","Ozone","Mille Lacs Band","27-095-3051","AirNow",".","28","6","11","."
