"tract_fips","time_frame","PPOPWOINS","PPOPWINSPRIV","PPOPWINSPUB","PPOPWEMPINS","PPOPWMEDICARE","PPOPWMEDICAID"
"32003004915","2017-2021","16.93","46.35","44.68","39.34","15.52","31.50"
"32003004916","2017-2021","19.95","44.31","42.00","35.16","19.71","30.50"
"32003004917","2017-2021","14.68","63.03","32.58","55.39","12.50","18.18"
"32003004918","2017-2021","9.98","64.16","37.65","56.33","22.16","16.43"
"32003004919","2017-2021","7.93","72.92","40.10","61.27","17.91","22.92"
"32003004920","2017-2021","20.36","44.87","38.45","41.19","10.69","33.16"
"32003004921","2017-2021","25.94","39.96","39.29","33.78","11.56","30.79"
"32003004923","2017-2021","19.96","56.95","30.08","48.62","10.51","20.90"
"32003004924","2017-2021","29.70","51.90","29.34","44.05","19.58","14.40"
"32003004925","2017-2021","13.07","63.42","32.16","53.95","13.45","23.77"
"32003004926","2017-2021","17.90","51.91","33.75","49.97","7.81","27.46"
"32003005005","2017-2021","7.47","38.00","68.45","29.92","41.87","40.75"
"32003005006","2017-2021","12.27","41.75","56.60","28.82","23.17","37.44"
"32003005007","2017-2021","8.14","70.53","48.03","54.52","34.57","13.02"
"32003005010","2017-2021","18.53","41.58","46.62","31.93","12.58","33.76"
"32003005011","2017-2021","12.83","59.03","33.65","50.35","8.14","26.00"
"32003005012","2017-2021","10.28","59.68","37.38","51.45","19.65","18.55"
"32003005013","2017-2021","14.51","61.03","31.67","54.79","9.21","24.59"
"32003005014","2017-2021","8.94","59.24","44.38","51.39","14.62","35.52"
"32003005015","2017-2021","8.45","64.40","44.55","47.97","31.12","15.07"
"32003005016","2017-2021","9.39","61.65","39.10","51.82","20.40","21.27"
"32003005017","2017-2021","9.66","65.39","31.17","60.62","13.65","20.02"
"32003005102","2017-2021","8.35","69.25","33.46","57.36","15.87","19.13"
"32003005103","2017-2021","9.42","61.47","36.79","53.52","14.43","23.02"
"32003005104","2017-2021","5.21","69.71","38.46","56.80","21.51","19.51"
"32003005106","2017-2021","8.30","76.42","34.12","52.87","16.69","20.16"
"32003005107","2017-2021","12.15","67.13","37.56","52.15","22.07","18.43"
"32003005108","2017-2021","7.68","71.79","28.08","63.52","16.37","13.92"
"32003005110","2017-2021","3.47","58.43","57.13","30.24","12.39","33.77"
"32003005111","2017-2021","3.13","80.03","25.61","65.50","15.77","10.38"
"32003005112","2017-2021",".37","79.18","25.77","75.61","9.74","14.61"
"32003005113","2017-2021","11.01","70.81","25.15","61.62","21.17","6.52"
"32003005114","2017-2021","16.53","59.35","35.86","51.11","15.97","20.08"
"32003005115","2017-2021","4.17","74.53","26.68","60.65","15.03","9.81"
"32003005116","2017-2021","12.23","70.17","23.12","61.38","11.08","12.47"
"32003005200","2017-2021","8.99","57.58","45.96","44.20","22.36","29.14"
"32003005311","2017-2021","9.93","72.29","23.30","63.36","12.37","11.70"
"32003005312","2017-2021","10.34","81.10","14.67","70.61","11.51","1.66"
"32003005313","2017-2021","3.11","82.80","27.21","70.21","16.79","9.86"
"32003005314","2017-2021","3.70","75.67","30.78","67.22","25.22","7.11"
"32003005316","2017-2021","8.84","64.70","34.07","54.04","21.96","13.31"
"32003005317","2017-2021","5.22","74.31","30.55","63.63","19.15","12.01"
"32003005318","2017-2021","3.46","77.54","37.38","61.26","25.82","11.86"
"32003005319","2017-2021","6.31","85.01","19.37","68.76","13.26","3.38"
"32003005320","2017-2021","10.13","69.82","28.90","62.34","14.63","14.26"
"32003005321","2017-2021","10.32","76.85","24.28","63.15","18.40","5.97"
"32003005322","2017-2021","4.69","72.22","33.38","61.09","16.14","20.19"
"32003005333","2017-2021","3.44","81.58","22.49","73.68","12.59","10.05"
"32003005335","2017-2021","4.02","77.15","34.15","63.78","21.15","13.41"
"32003005336","2017-2021","12.38","48.61","48.38","39.58","19.47","29.63"
"32003005337","2017-2021","8.11","81.94","17.47","69.51","12.68","4.62"
"32003005338","2017-2021",".94","67.90","81.01","32.15","79.66","7.96"
"32003005341","2017-2021","10.61","70.19","32.21","61.94","18.89","14.83"
"32003005342","2017-2021","6.96","68.18","33.90","59.21","15.52","17.53"
"32003005343","2017-2021","11.43","67.89","30.55","58.56","16.29","16.00"
"32003005346","2017-2021","11.42","75.02","19.85","61.05","13.55","7.57"
"32003005347","2017-2021","5.75","76.09","35.57","50.93","27.50","9.44"
"32003005348","2017-2021","2.20","82.04","25.07","68.25","16.47","8.19"
"32003005349","2017-2021","6.90","73.05","34.63","61.49","22.79","14.50"
"32003005350","2017-2021","1.78","81.90","34.33","67.73","21.77","11.74"
"32003005351","2017-2021","15.34","75.57","14.55","62.74","6.39","7.75"
"32003005352","2017-2021","8.11","83.45","25.09","62.02","18.78","6.96"
"32003005353","2017-2021","12.25","75.00","23.44","59.89","14.48","10.73"
"32003005354","2017-2021","7.84","73.68","25.07","62.45","7.95","16.78"
"32003005355","2017-2021","7.47","66.55","50.59","41.30","38.39","13.31"
"32003005356","2017-2021","2.06","85.19","20.17","62.00","13.98","6.59"
"32003005358","2017-2021","5.71","87.69","11.11","72.30","5.65","5.40"
"32003005360","2017-2021","4.01","73.59","28.97","60.28","14.84","18.13"
"32003005361","2017-2021","3.71","86.23","17.62","78.91","16.91",".72"
"32003005362","2017-2021","4.17","83.58","15.71","76.69","5.33","10.20"
"32003005363","2017-2021","15.52","65.78","27.20","50.73","18.79","10.17"
"32003005364","2017-2021","3.45","84.59","24.11","70.54","17.20","6.63"
"32003005365","2017-2021","1.18","94.59","15.52","86.95","11.16","2.34"
"32003005366","2017-2021","4.29","83.37","28.99","73.92","22.68","7.53"
"32003005421","2017-2021","10.84","46.19","53.18","38.76","16.88","41.45"
"32003005422","2017-2021","16.46","49.47","44.99","42.97","14.67","31.69"
"32003005423","2017-2021","11.45","60.25","43.76","44.12","27.47","20.08"
"32003005432","2017-2021","6.21","74.04","37.65","58.88","21.45","12.49"
"32003005433","2017-2021","6.16","77.20","33.30","59.61","23.56","10.35"
"32003005434","2017-2021","3.16","77.77","33.28","65.51","17.91","14.21"
"32003005435","2017-2021","8.56","68.39","37.57","51.97","16.63","23.83"
"32003005437","2017-2021","9.91","69.53","43.69","47.08","34.97","9.15"
"32003005438","2017-2021","5.44","50.17","50.67","41.23","14.88","36.82"
"32003005439","2017-2021","11.96","48.06","53.00","39.34","15.36","38.46"
"32003005440","2017-2021","9.31","64.04","29.29","57.80","20.00","9.59"
"32003005441","2017-2021","4.64","84.97","20.13","74.52","14.03","7.01"
"32003005442","2017-2021","1.24","89.54","28.97","69.08","20.01","8.24"
"32003005501","2017-2021","3.27","69.82","57.62","41.49","46.96","12.99"
"32003005502","2017-2021","7.51","73.98","34.18","55.10","23.21","10.78"
"32003005503","2017-2021","10.80","61.65","41.90","47.30","22.86","20.93"
"32003005504","2017-2021","1.31","78.03","38.97","60.80","20.11","19.34"
"32003005607","2017-2021","10.48","60.41","47.59","50.01","31.07","20.62"
"32003005612","2017-2021","9.26","51.88","45.07","47.76","25.28","22.00"
"32003005613","2017-2021","5.63","81.17","19.43","75.46","12.99","6.06"
"32003005614","2017-2021","15.62","45.71","51.15","40.04","21.65","33.27"
"32003005615","2017-2021","9.00","63.88","58.40","49.51","48.12","12.06"
"32003005702","2017-2021","7.03","41.68","66.07","28.58","31.25","37.37"
"32003005703","2017-2021","14.00","51.56","52.11","35.78","42.11","16.00"
"32003005704","2017-2021","5.72","60.57","66.50","34.60","52.06","24.68"
"32003005705","2017-2021","7.31","60.54","62.08","39.99","53.92","9.31"
"32003005711","2017-2021","2.24","91.15","17.01","76.81","11.89","5.38"
"32003005713","2017-2021","1.16","73.36","41.60","54.73","33.84","7.58"
"32003005715","2017-2021","3.81","85.21","27.80","50.60","25.13","3.29"
"32003005716","2017-2021","1.77","64.36","74.79","41.03","73.78","1.88"
"32003005717","2017-2021","6.24","73.19","38.95","52.39","25.73","13.01"
"32003005718","2017-2021","14.33","73.31","30.83","61.98","18.62","11.90"
"32003005719","2017-2021",".00","89.13","16.45","82.19","9.80","7.69"
"32003005720","2017-2021","4.34","80.17","17.56","54.06","15.53","2.97"
"32003005721","2017-2021",".63","68.56","90.90","34.88","89.24","4.79"
"32003005722","2017-2021",".63","70.10","85.73","42.34","85.28","2.45"
"32003005803","2017-2021","6.34","74.96","33.25","52.35","11.19","22.67"
"32003005804","2017-2021","8.10","75.47","30.88","61.18","17.88","16.76"
"32003005805","2017-2021","11.27","67.32","33.08","49.54","22.08","12.59"
"32003005806","2017-2021","6.51","74.19","34.63","55.67","26.42","11.16"
"32003005807","2017-2021","10.03","65.76","33.08","51.23","16.89","17.54"
"32003005808","2017-2021","10.17","69.50","44.14","53.93","25.77","18.18"
"32003005809","2017-2021","19.41","56.98","32.10","46.79","18.10","16.84"
"32003005813","2017-2021","16.12","65.41","25.64","45.40","13.35","12.32"
"32003005818","2017-2021","20.71","72.05","15.63","66.45","11.18","3.43"
"32003005822","2017-2021","8.87","83.30","14.70","69.15","8.75","6.22"
"32003005824","2017-2021","8.91","77.50","21.19","59.07","13.03","9.23"
"32003005825","2017-2021","14.24","68.59","26.96","52.94","16.17","12.81"
"32003005826","2017-2021","24.92","60.51","24.40","46.56","16.22","10.19"
"32003005828","2017-2021","2.70","89.00","20.05","74.70","10.78","10.49"
"32003005829","2017-2021","11.33","69.66","27.06","59.58","17.95","8.51"
"32003005830","2017-2021","7.07","71.55","24.55","64.19","8.63","16.20"
"32003005831","2017-2021","6.87","78.93","20.84","71.92","12.74","8.32"
